candidate_id,partition,date_label,candidate_description,discovery_source_ids,discovery_urls,disposition,canonical_id,disposition_reason,primary_family_required,primary_locator_1,primary_locator_2,rights_status,materiality_status,review_status,geometry_status
mongol-cand:foundation_steppe:01:chinggis-kurultai,foundation_steppe,1206,"At the 1206 assembly at the source of the Onon, the assembled peoples give Temujin the title Chinggis Qan and the new polity is organized into thousands.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:chinggis-khan-kurultai-1206,"primary concordance supports assembly, title and military-political organization; location rendered as Onon-source region, not exact point",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §202 (de Rachewiltz translation pp.125-126),"Juvayni, History of the World-Conqueror I, pp.38-39 (Boyle trans.)","citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round2,region only: source of Onon; no point
mongol-cand:foundation_steppe:02:forest-peoples-campaign,foundation_steppe,1207,"Jochi campaigns against and receives the submission of the Oirat, Buryat, Barqun, Ursut, Qabqanas, Qangqas, Tubas and Kirghiz among the forest peoples.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:jochi-forest-peoples-1207,Secret History gives named campaign and submissions; ethnic extent preserved but not converted to exact territorial polygons,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §239 (de Rachewiltz translation pp.154-155),,"citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round2,broad multi-region route; no point/polygon
mongol-cand:foundation_steppe:03:final-merkit-campaign,foundation_steppe,"after 1206, before 1211",Mongol forces destroy the remaining Merkit force led by Toqto’a’s sons near the Chu River.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:final-merkit-campaign,Secret History §236 supports pursuit and destruction near Chu River; discovery year 1208 not independently retained,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §236 (de Rachewiltz translation p.153),"Juvayni I, pp.61-62 notes variant 1205/1208 chronology","citation-only; translations copyright unresolved, no quotation reuse",B,primary_reconciled_round2,Chu River vicinity; uncertain date and no point
mongol-cand:foundation_steppe:04:qocho-qayaligh-almaliq-submissions,foundation_steppe,1209,"The Uighur idiqut repudiates Qara Khitai authority, sends envoys offering allegiance to Chinggis Qan, then comes to court and pays homage.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:uighur-submission-1209,corrected aggregate: primary sources support Uighur idiqut submission; Qayaligh and Almaliq are separate rulers/sequences and removed from this row,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §238 (de Rachewiltz translation p.154),"Juvayni, History of the World-Conqueror I, pp.44-46","citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round2,Qocho/Besh-Baligh polity relation; no single event point
mongol-cand:western_xia:01:wulahai-capture,western_xia,1207,Capture of Wulahai during the 1209 Western Xia campaign,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:wulahai-capture-1209,"Yuan shi juan 1 dates the Hexi invasion and capture of Wulahai to the fourth year (1209), after defeat of the Western Xia field army; Shengwu qinzheng lu independently records the renewed Western Xia campaign and capture of Wulahai, while its Wang Guowei note reconciles the year against Yuan sources. Model a named-city campaign phase, not a precise siege reconstruction.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/zh-hant/%E5%85%83%E5%8F%B2/%E5%8D%B7001,https://zh.wikisource.org/wiki/%E8%81%96%E6%AD%A6%E8%A6%AA%E5%BE%81%E9%8C%84%E6%A0%A1%E6%B3%A8,citation-only; translation/reuse unresolved; atlas English is own translation from cited Chinese originals,A,round38_primary_reconciled,"Wulahai named-city marker and western-Xia campaign-region phase only; no inferred modern-site precision, assault route, siege footprint, army positions, or conquest polygon"
mongol-cand:western_xia:02:zhongxing-campaign-and-failed-flood-siege,western_xia,1209,"Mongol forces reach Zhongxing in 1209 and attempt to use diverted river water against the capital; the embankment fails, water escapes outward, and the siege is lifted before a negotiated submission.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:zhongxing-flood-siege-1209,"Yuan shi juan 1 gives the 1209 campaign sequence, approach to Zhongxing, attempted river-water inundation, embankment failure with water flowing outward, withdrawal, and negotiated submission. Preserve the source’s sequence without reconstructing hydraulic works or claiming the city flooded.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/wiki/%E5%85%83%E5%8F%B2/%E5%8D%B7001,https://zh.wikisource.org/wiki/%E8%A5%BF%E5%A4%8F%E7%B4%80/27,citation-only; translation/reuse unresolved; atlas English is own translation from cited Chinese original,A,round51_primary_reconciled,"Zhongxing capital/siege marker and generic nearby river context only; no dam alignment, canal, inundation polygon, siege ring, withdrawal route, or casualty totals"
mongol-cand:western_xia:03:western-xia-submission,western_xia,1211,The Tangut ruler submits to Chinggis Khan and provides camels after the campaign culminating in 1211.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:western-xia-submission-1211,primary narrative directly records Tangut submission and levy; discovery date 1210 corrected to source Year of the Sheep 1211,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §§249-250 (de Rachewiltz translation pp.167-168),,"citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round8,Western Xia polity/court; no point asserted
mongol-cand:western_xia:04:renewed-zhongxing-siege-and-peace,western_xia,1217,"Mongol forces again besiege the Western Xia royal city; the ruler leaves for Xiliang, delegates defence, then submits and the besiegers withdraw.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:renewed-western-xia-capital-siege-1217,"Corrects the discovery date from 1218 to 1217. Yuan shi juan 1 places the renewed Western Xia royal-city siege in the 13th year, with the ruler leaving for Xiliang; Xixia ji juan 27 explicitly discusses the dating conflict and prefers 1217 because Jin reports knew of the siege by January 1218. Model a separate renewed capital siege, not the 1209 hydraulic episode.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/wiki/%E5%85%83%E5%8F%B2/%E5%8D%B7001,https://zh.wikisource.org/wiki/%E8%A5%BF%E5%A4%8F%E7%B4%80/27,citation-only; translation/reuse unresolved; atlas English is own translation from cited Chinese originals,A,round52_primary_reconciled_date_corrected,"Western Xia royal-capital siege marker and Xiliang ruler-location marker only; no siege ring, departure route, control polygon, assault geometry, or force totals"
mongol-cand:western_xia:05:refusal-of-auxiliaries,western_xia,1219,The Tangut ruler refuses Chinggis Qan’s request for troops for the western campaign; Chinggis later cites the refusal when renewing war.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:tangut-refuses-auxiliaries-1219,"strategic alliance rupture supported retrospectively in Secret History §265; mocking words attributed to Asha Gambu, not ruler",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §265 (de Rachewiltz translation pp.185-187),,"citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round4,diplomatic turn; no point
mongol-cand:western_xia:06:khara-khoto-gansu-campaign,western_xia,1226,"Chinggis Qan opens the final Tangut campaign, defeats Asha Gambu in the Alashan region and extends operations against resisting Tangut forces.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:final-tangut-campaign-opens-1226,"primary supports final-campaign opening and Alashan battle, not the discovery source’s precise Khara-Khoto/Gansu sack wording",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §§265-266 (de Rachewiltz translation pp.185-187),,"citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round4,Alashan campaign region; no route or battle point
